,CustomerID,Age,Gender,MaritalStatus,IncomeLevel,TransactionID,TransactionDate,AmountSpent,ProductCategory,InteractionID,InteractionDate,InteractionType,ResolutionStatus,LastLoginDate,LoginFrequency,ServiceUsage,ChurnStatus
0,1,62,M,Single,Low,7194,2022-03-27,416.5,Electronics,6363.0,2022-03-31,Inquiry,Resolved,2023-10-21,34,Mobile App,0
1,2,65,M,Married,Low,7250,2022-08-08,54.96,Clothing,3329.0,2022-03-17,Inquiry,Resolved,2023-12-05,5,Website,1
2,2,65,M,Married,Low,9660,2022-07-25,197.5,Electronics,3329.0,2022-03-17,Inquiry,Resolved,2023-12-05,5,Website,1
3,2,65,M,Married,Low,2998,2022-01-25,101.31,Furniture,3329.0,2022-03-17,Inquiry,Resolved,2023-12-05,5,Website,1
4,2,65,M,Married,Low,1228,2022-07-24,397.37,Clothing,3329.0,2022-03-17,Inquiry,Resolved,2023-12-05,5,Website,1
5,2,65,M,Married,Low,8903,2022-01-09,285.21,Electronics,3329.0,2022-03-17,Inquiry,Resolved,2023-12-05,5,Website,1
6,2,65,M,Married,Low,3527,2022-09-16,311.34,Electronics,3329.0,2022-03-17,Inquiry,Resolved,2023-12-05,5,Website,1
7,2,65,M,Married,Low,9279,2022-11-19,199.73,Groceries,3329.0,2022-03-17,Inquiry,Resolved,2023-12-05,5,Website,1
8,3,18,M,Single,Low,9839,2022-10-08,241.06,Books,9976.0,2022-08-24,Inquiry,Resolved,2023-11-15,3,Website,0
9,3,18,M,Single,Low,7364,2022-08-15,51.07,Clothing,9976.0,2022-08-24,Inquiry,Resolved,2023-11-15,3,Website,0
10,3,18,M,Single,Low,4967,2022-09-17,419.95,Furniture,9976.0,2022-08-24,Inquiry,Resolved,2023-11-15,3,Website,0
11,3,18,M,Single,Low,1646,2022-07-09,287.72,Groceries,9976.0,2022-08-24,Inquiry,Resolved,2023-11-15,3,Website,0
12,3,18,M,Single,Low,7806,2022-03-02,299.86,Groceries,9976.0,2022-08-24,Inquiry,Resolved,2023-11-15,3,Website,0
13,3,18,M,Single,Low,7329,2022-02-11,403.32,Furniture,9976.0,2022-08-24,Inquiry,Resolved,2023-11-15,3,Website,0
14,4,21,M,Widowed,Low,3394,2022-07-31,125.64,Electronics,7354.0,2022-11-18,Inquiry,Resolved,2023-08-25,2,Website,0
15,4,21,M,Widowed,Low,3394,2022-07-31,125.64,Electronics,5393.0,2022-07-03,Inquiry,Unresolved,2023-08-25,2,Website,0
16,4,21,M,Widowed,Low,1211,2022-12-01,123.59,Groceries,7354.0,2022-11-18,Inquiry,Resolved,2023-08-25,2,Website,0
17,4,21,M,Widowed,Low,1211,2022-12-01,123.59,Groceries,5393.0,2022-07-03,Inquiry,Unresolved,2023-08-25,2,Website,0
18,4,21,M,Widowed,Low,4235,2022-12-22,241.45,Electronics,7354.0,2022-11-18,Inquiry,Resolved,2023-08-25,2,Website,0
19,4,21,M,Widowed,Low,4235,2022-12-22,241.45,Electronics,5393.0,2022-07-03,Inquiry,Unresolved,2023-08-25,2,Website,0
20,4,21,M,Widowed,Low,3419,2022-12-27,44.22,Clothing,7354.0,2022-11-18,Inquiry,Resolved,2023-08-25,2,Website,0
21,4,21,M,Widowed,Low,3419,2022-12-27,44.22,Clothing,5393.0,2022-07-03,Inquiry,Unresolved,2023-08-25,2,Website,0
22,4,21,M,Widowed,Low,7670,2022-05-22,382.39,Furniture,7354.0,2022-11-18,Inquiry,Resolved,2023-08-25,2,Website,0
23,4,21,M,Widowed,Low,7670,2022-05-22,382.39,Furniture,5393.0,2022-07-03,Inquiry,Unresolved,2023-08-25,2,Website,0
24,5,21,M,Divorced,Medium,1742,2022-02-21,475.69,Groceries,,,,,2023-10-27,41,Website,0
25,5,21,M,Divorced,Medium,9349,2022-08-12,178.91,Furniture,,,,,2023-10-27,41,Website,0
26,5,21,M,Divorced,Medium,7200,2022-12-02,373.51,Groceries,,,,,2023-10-27,41,Website,0
27,5,21,M,Divorced,Medium,4938,2022-10-21,155.76,Electronics,,,,,2023-10-27,41,Website,0
28,5,21,M,Divorced,Medium,5357,2022-07-04,308.8,Electronics,,,,,2023-10-27,41,Website,0
29,5,21,M,Divorced,Medium,6791,2022-08-31,219.98,Furniture,,,,,2023-10-27,41,Website,0
30,5,21,M,Divorced,Medium,7592,2022-12-21,218.98,Electronics,,,,,2023-10-27,41,Website,0
31,5,21,M,Divorced,Medium,9249,2022-05-25,69.86,Groceries,,,,,2023-10-27,41,Website,0
32,6,57,F,Divorced,Medium,6635,2022-08-11,365.57,Books,2358.0,2022-05-05,Feedback,Resolved,2023-09-17,2,Website,0
33,6,57,F,Divorced,Medium,3772,2022-10-29,448.86,Clothing,2358.0,2022-05-05,Feedback,Resolved,2023-09-17,2,Website,0
34,6,57,F,Divorced,Medium,6237,2022-08-09,41.7,Furniture,2358.0,2022-05-05,Feedback,Resolved,2023-09-17,2,Website,0
35,6,57,F,Divorced,Medium,8661,2022-07-03,104.0,Furniture,2358.0,2022-05-05,Feedback,Resolved,2023-09-17,2,Website,0
36,6,57,F,Divorced,Medium,9155,2022-10-18,204.16,Electronics,2358.0,2022-05-05,Feedback,Resolved,2023-09-17,2,Website,0
37,7,27,F,Married,High,8762,2022-10-24,86.73,Books,,,,,2023-01-07,32,Mobile App,0
38,8,37,M,Single,Low,4215,2022-10-25,263.24,Books,4191.0,2022-04-29,Inquiry,Unresolved,2023-04-22,17,Online Banking,1
39,8,37,M,Single,Low,4215,2022-10-25,263.24,Books,8937.0,2022-09-13,Feedback,Unresolved,2023-04-22,17,Online Banking,1
40,8,37,M,Single,Low,2500,2022-11-09,483.91,Clothing,4191.0,2022-04-29,Inquiry,Unresolved,2023-04-22,17,Online Banking,1
41,8,37,M,Single,Low,2500,2022-11-09,483.91,Clothing,8937.0,2022-09-13,Feedback,Unresolved,2023-04-22,17,Online Banking,1
42,8,37,M,Single,Low,1383,2022-07-06,240.92,Books,4191.0,2022-04-29,Inquiry,Unresolved,2023-04-22,17,Online Banking,1
43,8,37,M,Single,Low,1383,2022-07-06,240.92,Books,8937.0,2022-09-13,Feedback,Unresolved,2023-04-22,17,Online Banking,1
44,8,37,M,Single,Low,6171,2022-06-10,346.24,Clothing,4191.0,2022-04-29,Inquiry,Unresolved,2023-04-22,17,Online Banking,1
45,8,37,M,Single,Low,6171,2022-06-10,346.24,Clothing,8937.0,2022-09-13,Feedback,Unresolved,2023-04-22,17,Online Banking,1
46,8,37,M,Single,Low,1807,2022-07-13,253.68,Furniture,4191.0,2022-04-29,Inquiry,Unresolved,2023-04-22,17,Online Banking,1
47,8,37,M,Single,Low,1807,2022-07-13,253.68,Furniture,8937.0,2022-09-13,Feedback,Unresolved,2023-04-22,17,Online Banking,1
48,8,37,M,Single,Low,5759,2022-09-26,161.56,Electronics,4191.0,2022-04-29,Inquiry,Unresolved,2023-04-22,17,Online Banking,1
49,8,37,M,Single,Low,5759,2022-09-26,161.56,Electronics,8937.0,2022-09-13,Feedback,Unresolved,2023-04-22,17,Online Banking,1
50,8,37,M,Single,Low,9841,2022-03-10,297.33,Furniture,4191.0,2022-04-29,Inquiry,Unresolved,2023-04-22,17,Online Banking,1
